Monit_MAP_CODE1,LAKE_NAME,Year,phosphorus_avg,phosphorus_count,secchi_avg,secchi_count,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax,pct_garage,pct_basement
10004800-01,Wasserman Lake,2006,0.16796875,32,1.25,12,1850.3652173913044,1850.3652173913044,1.5967747035573063,1.5967747035573063,380258.9723320158,380258.9723320158,3576.5272727272727,3576.5272727272727,0.664378860672615,
19002500-01,Keller Lake,2004,0.039733333333333336,15,1.5199999999999998,15,2171.247892074199,2171.247892074199,0.40009274873524325,0.40009274873524325,248076.89713322092,248076.89713322092,2338.8933389544686,2338.8933389544686,,
82007600-01,Barker Lake,2008,0.10857142857142857,7,1.1974285714285717,7,0.0,0.0,22.651304347826084,22.651304347826084,352650.93167701864,352650.93167701864,263408.6956521739,263408.6956521739,,
82010900-01,Eagle Point Lake,2007,0.17049999999999998,2,0.85,2,0.0,0.0,0.0,0.0,875000.0,875000.0,0.0,0.0,,
02000500-01,George Watch Lake,2006,0.16428571428571428,7,0.7285714285714286,7,1637.532154340836,1637.532154340836,2.2349196141479077,2.2349196141479077,233350.48231511255,233350.48231511255,3405.8006430868168,3405.8006430868168,,0.9181426519865965
19009500-01,Seidl Lake,2006,0.11314285714285714,14,0.6621428571428571,14,1697.3789761431412,1697.3789761431412,0.23887922465207823,0.23887922465207823,206656.7967196819,206656.7967196819,1970.6482355864812,1970.6482355864812,,
82010300-01,Olson Lake,2012,0.022000000000000002,13,2.9916666666666667,12,1347.5505494505494,1347.5505494505494,0.9493846153846153,0.9493846153846153,210564.06593406593,210564.06593406593,0.0,0.0,1.0,1.0
13005300-01,Big Comfort Lake,2014,0.03459090909090911,22,1.4563636363636367,22,,,,,,,,,,
19002700-01,Crystal Lake,2004,0.04,15,1.9400000000000002,15,2124.7643008474574,2124.7643008474574,0.42046080508474315,0.42046080508474315,251905.24364406778,251905.24364406778,2583.88718220339,2583.88718220339,,
62007100-01,Valentine Lake,2008,0.06161538461538462,13,1.8346153846153848,13,1705.436011904762,1705.436011904762,0.0,0.0,774789.0625,774789.0625,11902.092261904761,11902.092261904761,0.9894179894179894,0.9654913728432108
13002400-01,Third Lake,2014,0.026916666666666672,12,1.2950000000000002,12,1272.5882352941176,1272.5882352941176,7.138823529411764,7.138823529411764,289558.82352941175,289558.82352941175,0.0,0.0,1.0,1.0
82033400-01,Kismet Lake,2005,0.033571428571428565,14,2.0682857142857145,14,0.0,0.0,6.28139751552795,6.28139751552795,387900.6211180124,387900.6211180124,2069.354037267081,2069.354037267081,,
82002800-01,Staples Lake,2005,0.02,7,2.9172857142857143,7,0.0,0.0,6.317795275590551,6.317795275590551,291811.81102362205,291811.81102362205,1333.2125984251968,1333.2125984251968,,
27006500-01,Magda Lake,2012,0.12884615384615386,13,0.4192307692307692,13,433.4789956542733,433.4789956542733,0.7672573635924662,0.7672573635924662,294379.4302269435,294379.4302269435,8000.803476581362,8000.803476581362,1.0,1.0
82005400-01,Bone Lake,2008,0.041687500000000016,16,1.7062500000000003,16,0.0,0.0,7.169739336492886,7.169739336492886,267595.0236966825,267595.0236966825,239972.7488151659,239972.7488151659,,
82000400-01,Edith Lake,2011,0.06337209302325582,43,2.341428571428571,14,1261.6723163841807,1261.6723163841807,13.031807909604526,13.031807909604526,348963.2768361582,348963.2768361582,0.0,0.0,1.0,1.0
70007400-01,Dean Lake,2006,0.279875,8,0.6500000000000001,8,4374.203735144312,4374.203735144312,1.785817770232041,1.785817770232041,355708.7153367289,355708.7153367289,0.0,0.0,,
19008200-01,Lemay Lake,2009,0.04811111111111111,9,1.4944444444444445,9,14037.472984206152,14037.472984206152,2.170282626766415,2.170282626766415,858330.5901911887,858330.5901911887,20071.211138819617,20071.211138819617,0.8853255587949466,0.8655652737285391
10002900-01,Miller Lake,2006,0.17208333333333334,12,0.6666666666666666,12,1142.4621848739496,1142.4621848739496,38.381764705882354,38.381764705882354,354660.50420168065,354660.50420168065,1871.0840336134454,1871.0840336134454,0.6079136690647482,
