Monit_MAP_CODE1,Year,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax
82012400-01,2012,1923.0135135135135,1923.0135135135135,8.531351351351347,8.531351351351347,349878.3783783784,349878.3783783784,0.0,0.0
82009200-01,2006,1701.163179916318,1701.163179916318,0.3343974895397495,0.3343974895397495,420188.6192468619,420188.6192468619,4811.1464435146445,4811.1464435146445
70007200-02,2011,952.9432717678101,952.9432717678101,0.688891820580476,0.688891820580476,269843.00791556726,269843.00791556726,0.0,0.0
62005400-01,2004,1062.747897746384,1062.747897746384,0.7700454086781015,0.7700454086781015,304998.08274470235,304998.08274470235,0.0,0.0
27017901-01,2007,0.0,0.0,12.853273542600899,12.853273542600899,436796.41255605384,436796.41255605384,4778.7533632286995,4778.7533632286995
70006500-01,2006,1242.126530612245,1242.126530612245,8.437959183673463,8.437959183673463,321623.2653061224,321623.2653061224,0.0,0.0
10005200-01,2009,1395.1712121212122,1395.1712121212122,8.045227272727267,8.045227272727267,371728.63636363635,371728.63636363635,3363.0227272727275,3363.0227272727275
27067000-01,2004,0.0,0.0,0.0,0.0,435712.4075924076,435712.4075924076,5700.553946053946,5700.553946053946
82000900-01,2004,0.0,0.0,1.2701391465677176,1.2701391465677176,652957.1428571428,652957.1428571428,3649.7402597402597,3649.7402597402597
19045600-01,2010,1944.8179321169316,1944.8179321169316,0.5817559348636482,0.5817559348636482,228148.44025897587,228148.44025897587,3254.9990190308026,3254.9990190308026
10001600-01,2009,1031.151832460733,1031.151832460733,24.647434554973803,24.647434554973803,329150.2617801047,329150.2617801047,2352.916230366492,2352.916230366492
82001100-01,2011,1438.4,1438.4,6.4546349206349225,6.4546349206349225,307971.74603174604,307971.74603174604,0.0,0.0
82015900-03,2004,0.0,0.0,0.704798255179934,0.704798255179934,225868.15703380588,225868.15703380588,1593.103598691385,1593.103598691385
02000400-01,2014,1255.384879725086,1255.384879725086,3.4366408934708015,3.4366408934708015,187198.28178694157,187198.28178694157,2754.298969072165,2754.298969072165
10001000-01,2007,1609.5553278688524,1609.5553278688524,2.0590778688524543,2.0590778688524543,387640.98360655736,387640.98360655736,3763.6065573770493,3763.6065573770493
27003501-02,2012,1034.5219818562457,1034.5219818562457,0.719972086531752,0.719972086531752,242456.38520586182,242456.38520586182,4476.64270760642,4476.64270760642
19026300-01,2015,2602.9919224555733,2602.9919224555733,3.931082390953152,3.931082390953152,461777.54442649434,461777.54442649434,6792.0888529886915,6792.0888529886915
82011500-01,2013,1043.919745420677,1043.919745420677,0.7761657870226634,0.7761657870226634,294894.69108972367,294894.69108972367,0.0,0.0
27005800-01,2014,254.31228508909035,254.31228508909035,0.3028884026258193,0.3028884026258193,123811.87871209753,123811.87871209753,2667.6748984057517,2667.6748984057517
19044600-01,2011,2401.026197122611,2401.026197122611,0.4693665449860362,0.4693665449860362,268171.37642258964,268171.37642258964,3202.1977668026625,3202.1977668026625
99001184-02,2004,0.0,0.0,2.346063492063492,2.346063492063492,268388.8888888889,268388.8888888889,2128.6857142857143,2128.6857142857143
82012500-01,2005,0.0,0.0,5.584942528735632,5.584942528735632,454793.1034482759,454793.1034482759,3012.344827586207,3012.344827586207
82011602-01,2013,1166.6605728214504,1166.6605728214504,1.2642047531992642,1.2642047531992642,309587.690432663,309587.690432663,0.0,0.0
82015900-01,2013,917.3982007575758,917.3982007575758,0.7509280303030281,0.7509280303030281,187987.5946969697,187987.5946969697,0.0,0.0
62008200-01,2009,1231.5544422177688,1231.5544422177688,2.712144288577147,2.712144288577147,507704.07481629925,507704.07481629925,9355.588510354042,9355.588510354042
27068100-01,2004,0.0,0.0,0.0,0.0,236419.61805555556,236419.61805555556,3706.148958333333,3706.148958333333
82030100-01,2009,1011.0206896551724,1011.0206896551724,21.5971724137931,21.5971724137931,392188.275862069,392188.275862069,360567.5862068966,360567.5862068966
82031300-01,2007,0.0,0.0,0.0,0.0,367673.60655737703,367673.60655737703,0.0,0.0
